College,Latitude,Longitude,City,State
University of Texas (Austin),30.267153,-97.7430608,Austin,TX
Stanford University,37.42410599999999,-122.1660756,Stanford,CA
Texas Christian University,32.7554883,-97.3307658,Fort Worth,TX
Ohio State University,39.9611755,-82.99879419999999,Columbus,OH
Wake Forest University,36.09985959999999,-80.244216,Winston-Salem,NC
UCLA,34.0549076,-118.242643,Los Angeles,CA
Mississippi State University,33.4503998,-88.81838719999999,Starkville,MS
Michigan State University,42.7369792,-84.48386540000001,East Lansing,MI
University of Oklahoma,35.2225668,-97.4394777,Norman,OK
Columbia University,40.7127753,-74.0059728,New York,NY
University of San Diego,32.715738,-117.1610838,San Diego,CA
University of Kentucky,38.0389091,-84.5152662,Lexington,KY
University of Arizona,32.2539787,-110.9741769,Tucson,AZ
University of Illinois,40.1164204,-88.2433829,Champaign,IL
Texas A&M University,30.627977,-96.3344068,College Station,TX
Duke University,35.9940329,-78.898619,Durham,NC
University of Georgia,33.9519347,-83.357567,Athens,GA
North Carolina State University,35.7795897,-78.6381787,Raleigh,NC
University of California,37.8715226,-122.273042,Berkeley,CA
University of Alabama,33.2098407,-87.56917349999999,Tuscaloosa,AL
Pepperdine University,34.0380585,-118.6923438,Malibu,CA
University of Virginia,38.0293059,-78.47667810000002,Charlottesville,VA
Arizona State University,33.4255104,-111.9400054,Tempe,AZ
Harvard University,42.3736158,-71.10973349999999,Cambridge,MA
Cornell University,42.4439614,-76.5018807,Ithaca,NY
Florida State University,30.4431959,-84.30289979999999,Tallahassee,FL
Baylor University,31.549333,-97.1466695,Waco,TX
Princeton University,40.3572976,-74.6672226,Princeton,NJ
University of Southern California,34.0230431,-118.2908862,Los Angeles,CA
University of Tennessee,35.9606384,-83.9207392,Knoxville,TN
University of Michigan,42.2808256,-83.7430378,Ann Arbor,MI
University of South Carolina,34.0008322,-81.035147,Columbia,SC
University of Central Florida,28.5383832,-81.3789269,Orlando,FL
University of Florida,29.6519563,-82.324998,Gainesville,FL
Louisiana State University,30.4514677,-91.18714659999999,Baton Rouge,LA
Clemson University,34.6834382,-82.8373654,Clemson,SC
Yale University,41.308274,-72.9278835,New Haven,CT
University of Notre Dame,41.6763545,-86.25198979999999,South Bend,IN
Vanderbilt University,36.1626638,-86.7816016,Nashville,TN
Middle Tennessee State University,35.8456213,-86.39027,Murfreesboro,TN
University of Memphis,35.1495343,-90.0489801,Memphis,TN
Georgia Tech,33.7501275,-84.3885209,Atlanta,GA
University of North Carolina,35.9131996,-79.0558445,Chapel Hill,NC
University of Nebraska,40.8136634,-96.7025764,Lincoln,NE
Auburn University,32.6098566,-85.48078249999999,Auburn,AL
University of Arkansas,36.0626579,-94.16058389999999,Fayetteville,AR
Old Dominion University,36.8507689,-76.28587259999999,Norfolk,VA
Southern Methodist University,32.7766642,-96.79698789999999,Dallas,TX
Oklahoma State University,36.1156071,-97.0583681,Stillwater,OK
UC Irvine,33.6845673,-117.8265049,Irvine,CA
UNC Wilmington,34.2103894,-77.8868117,Wilmington,NC
University of Louisville,38.2468618,-85.7663724,Louisville,KY
UC Santa Barbara,34.4208305,-119.6981901,Santa Barbara,CA
University of Washington,47.6061389,-122.3328481,Seattle,WA
Purdue University,40.4258686,-86.90806549999999,West Lafayette,IN
University of Pennsylvania,39.9525839,-75.1652215,Philadelphia,PA
University of Miami (Florida),25.7491968,-80.2635411,Coral Gables,FL
University of the Pacific (California),37.9577016,-121.2907796,Stockton,CA
University of Oregon,44.0520691,-123.0867536,Eugene,OR
Rice University,29.7600771,-95.37011079999999,Houston,TX
Charlotte,35.2270869,-80.8431267,Charlotte,NC
University of Denver,39.7392358,-104.990251,Denver,CO
Boise State University,43.6150186,-116.2023137,Boise,ID
University of Utah,40.7607793,-111.8910474,Salt Lake City,UT
Indiana University-Bloomington,39.165325,-86.52638569999999,Bloomington,IN
University of Mississippi,34.3659868,-89.5188246,Oxford,MS
University of South Florida,27.9516896,-82.45875269999999,Tampa,FL
