eventId,eventName,eventStartDate,eventEndDate,drawName,resultDate,round,roundCode,matchId,winner1_id,winner1_name,winner1_utr,winner1_nationality,winner2_id,winner2_name,winner2_utr,winner2_nationality,loser1_id,loser1_name,loser1_utr,loser1_nationality,loser2_id,loser2_name,loser2_utr,loser2_nationality,opponent_utr,is_doubles,winnerSets,loserSets,tiebreakSets,sourceType,outcome,score_details,isWinner,win_margin,is_notable
2468675,Zach Barden Memorial Invite,2024-11-15 00:00:00,2024-11-17 00:00:00,Doubles,2024-11-17 00:00:00,,,49798940,4030701,Anmay Devaraj,11.24,USA,862626,Casey Hishinuma,11.13,USA,3017604,Ivan Yahir Vazquez Cintron,9.51,PUR,4167397,Teddy Wong,9.18,USA,9.344999999999999,True,"[6, 0, 0, 0, 0, 0]","[3, 0, 0, 0, 0, 0]","[None, 0, 0, 0, 0, None]",sanctioned,W,"{'1': {'winner': 6, 'loser': 3, 'tiebreak': None, 'winnerTiebreak': None}}",True,3,False
2395816,2024 ITA Division III Men's Central Regional Championships,2024-09-20 00:00:00,2024-09-22 00:00:00,Doubles,2024-09-22 00:00:00,,,48259841,4228695,Ansh Shah,11.63,USA,4030701,Anmay Devaraj,11.24,USA,1724165,Lucas Densford,7.09,USA,2835249,dustin garrison,6.96,USA,7.025,True,"[8, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[None, 0, 0, 0, 0, None]",sanctioned,W,"{'1': {'winner': 8, 'loser': 0, 'tiebreak': None, 'winnerTiebreak': None}}",True,8,False
2395816,2024 ITA Division III Men's Central Regional Championships,2024-09-20 00:00:00,2024-09-22 00:00:00,Doubles,2024-09-22 00:00:00,,,48259858,4228695,Ansh Shah,11.63,USA,4030701,Anmay Devaraj,11.24,USA,4352184,Scott Anderson,9.62,USA,2564074,Roee Sela,9.01,USA,9.315,True,"[8, 0, 0, 0, 0, 0]","[2, 0, 0, 0, 0, 0]","[None, 0, 0, 0, 0, None]",sanctioned,W,"{'1': {'winner': 8, 'loser': 2, 'tiebreak': None, 'winnerTiebreak': None}}",True,6,False
2395816,2024 ITA Division III Men's Central Regional Championships,2024-09-20 00:00:00,2024-09-22 00:00:00,Singles,2024-09-22 00:00:00,,,48259944,4030701,Anmay Devaraj,11.24,USA,,,,,3577513,Ernesto Carlos Botero Diaz,9.11,COL,,,,,9.11,True,"[6, 6, 0, 0, 0, 0]","[0, 2, 0, 0, 0, 0]","[None, None, 0, 0, 0, None]",sanctioned,W,"{'1': {'winner': 6, 'loser': 0, 'tiebreak': None, 'winnerTiebreak': None}, '2': {'winner': 6, 'loser': 2, 'tiebreak': None, 'winnerTiebreak': None}}",True,10,True
2395816,2024 ITA Division III Men's Central Regional Championships,2024-09-20 00:00:00,2024-09-22 00:00:00,Singles,2024-09-22 00:00:00,,,48259953,4030701,Anmay Devaraj,11.24,USA,,,,,130232,Derek Hsieh,11.87,USA,,,,,11.87,True,"[6, 6, 0, 0, 0, 0]","[1, 4, 0, 0, 0, 0]","[None, None, 0, 0, 0, None]",sanctioned,W,"{'1': {'winner': 6, 'loser': 1, 'tiebreak': None, 'winnerTiebreak': None}, '2': {'winner': 6, 'loser': 4, 'tiebreak': None, 'winnerTiebreak': None}}",True,7,False
2411928,Youngsville Hidden Dual Tournament,2024-09-14 00:00:00,2024-09-15 00:00:00,Singles,2024-09-15 00:00:00,,,48484124,4030701,Anmay Devaraj,11.24,USA,,,,,4206420,ADRIAN DANIEL,10.49,ISR,,,,,10.49,True,"[3, 6, 1, 0, 0, 0]","[6, 0, 0, 0, 0, 0]","[None, None, 10, 0, 0, None]",sanctioned,W,"{'1': {'winner': 3, 'loser': 6, 'tiebreak': None, 'winnerTiebreak': None}, '2': {'winner': 6, 'loser': 0, 'tiebreak': None, 'winnerTiebreak': None}, '3': {'winner': 1, 'loser': 0, 'tiebreak': 5, 'winnerTiebreak': 10}}",True,4,False
2411928,Youngsville Hidden Dual Tournament,2024-09-14 00:00:00,2024-09-15 00:00:00,Doubles,2024-09-15 00:00:00,,,48484134,4228695,Ansh Shah,11.63,USA,4030701,Anmay Devaraj,11.24,USA,4206420,ADRIAN DANIEL,10.49,ISR,4150672,Luke Hoyland,10.75,GBR,10.620000000000001,True,"[8, 0, 0, 0, 0, 0]","[2, 0, 0, 0, 0, 0]","[None, 0, 0, 0, 0, None]",sanctioned,W,"{'1': {'winner': 8, 'loser': 2, 'tiebreak': None, 'winnerTiebreak': None}}",True,6,False
2411928,Youngsville Hidden Dual Tournament,2024-09-14 00:00:00,2024-09-15 00:00:00,Doubles,2024-09-15 00:00:00,,,48484160,4228695,Ansh Shah,11.63,USA,4030701,Anmay Devaraj,11.24,USA,4844808,Benjamin Martin,10.24,USA,3945717,Takamasa Mishiro,11.13,JPN,10.685,True,"[8, 0, 0, 0, 0, 0]","[2, 0, 0, 0, 0, 0]","[None, 0, 0, 0, 0, None]",sanctioned,W,"{'1': {'winner': 8, 'loser': 2, 'tiebreak': None, 'winnerTiebreak': None}}",True,6,False
2390996,Denison Invitational,2024-09-07 00:00:00,2024-09-08 00:00:00,Singles,2024-09-08 00:00:00,,,48161506,4030701,Anmay Devaraj,11.24,USA,,,,,134820,Rishil Kondapaneni,10.96,USA,,,,,10.96,True,"[6, 6, 0, 0, 0, 0]","[1, 3, 0, 0, 0, 0]","[None, None, 0, 0, 0, None]",sanctioned,W,"{'1': {'winner': 6, 'loser': 1, 'tiebreak': None, 'winnerTiebreak': None}, '2': {'winner': 6, 'loser': 3, 'tiebreak': None, 'winnerTiebreak': None}}",True,8,False
2390996,Denison Invitational,2024-09-07 00:00:00,2024-09-08 00:00:00,Singles,2024-09-08 00:00:00,,,48161568,4030701,Anmay Devaraj,11.24,USA,,,,,4457177,Ryan Patrick,10.37,USA,,,,,10.37,True,"[6, 6, 1, 0, 0, 0]","[7, 2, 0, 0, 0, 0]","[None, None, 10, 0, 0, None]",sanctioned,W,"{'1': {'winner': 6, 'loser': 7, 'tiebreak': None, 'winnerTiebreak': None}, '2': {'winner': 6, 'loser': 2, 'tiebreak': None, 'winnerTiebreak': None}, '3': {'winner': 1, 'loser': 0, 'tiebreak': 2, 'winnerTiebreak': 10}}",True,4,False
