Player Name,Location,Singles UTR,Doubles UTR,Profile Link
Jannik Sinner,M • Italy,16.30,15.28,https://app.utrsports.net/profiles/247320
Carlos Alcaraz,M • Spain,16.22,14.91,https://app.utrsports.net/profiles/3569175
Novak Djokovic,M • Serbia,N/A,N/A,https://app.utrsports.net/profiles/3568338
Alexander Zverev,"M • Monaco-Ville, Monaco",16.05,14.84,https://app.utrsports.net/profiles/52294
Taylor Fritz,"M • San Diego, CA",16.00,15.06,https://app.utrsports.net/profiles/60157
Ugo Humbert,M • France,15.91,14.45,https://app.utrsports.net/profiles/77968
Alex De Minaur,M • Australia,15.88,14.33,https://app.utrsports.net/profiles/4315334
Tommy Paul,M • United States,15.85,14.77,https://app.utrsports.net/profiles/50772
Jack Draper,"M • London, United Kingdom",15.83,15.28,https://app.utrsports.net/profiles/439496
Daniil Medvedev,M • Russia,15.82,14.71,https://app.utrsports.net/profiles/3554581
Jenson Brooksby,"M • Carmichael, CA",N/A,N/A,https://app.utrsports.net/profiles/2631909
Hubert Hurkacz,M • Poland,15.75,14.23,https://app.utrsports.net/profiles/73237
Tomas Machac,M,15.74,14.89,https://app.utrsports.net/profiles/182561
Matteo Berrettini,"M • Rome, Italy",N/A,N/A,https://app.utrsports.net/profiles/52886
Felix Auger-Aliassime,M • Monaco,15.73,14.76,https://app.utrsports.net/profiles/2630333
Ben Shelton,"M • Gainesville, FL",15.73,14.61,https://app.utrsports.net/profiles/4681258
Alexei Popyrin,M • Australia,15.73,14.32,https://app.utrsports.net/profiles/95506
Andrey Rublev,"M • Moscow, Russia",15.72,14.81,https://app.utrsports.net/profiles/53840
Grigor Dimitrov,"M • Monaco-Ville, Monaco",N/A,N/A,https://app.utrsports.net/profiles/3469
Denis Shapovalov,"M • Nassau, The Bahamas",N/A,N/A,https://app.utrsports.net/profiles/83218
Brandon Nakashima,M,15.66,14.12,https://app.utrsports.net/profiles/405461
Sebastian Korda,"M • Bradenton, FL",15.65,14.95,https://app.utrsports.net/profiles/96338
Jan-Lennard Struff,"M • Warstein, Germany",15.65,15.00,https://app.utrsports.net/profiles/207438
Holger Vitus Nødskov Rune,"M • Charlottenlund, Denmark",N/A,N/A,https://app.utrsports.net/profiles/2004640
Alex Michelsen,"M • Aliso Viejo, CA",15.64,14.64,https://app.utrsports.net/profiles/168170
Frances Tiafoe,"M • Orlando, FL",N/A,N/A,https://app.utrsports.net/profiles/224678
Marcos Giron,"M • Redondo Beach, CA",N/A,N/A,https://app.utrsports.net/profiles/3875691
Casper Ruud,M • Norway,15.63,14.56,https://app.utrsports.net/profiles/95161
Lorenzo Musetti,M • Italy,15.62,14.72,https://app.utrsports.net/profiles/1394186
Milos Raonic,"M • Monaco-Ville, Monaco",N/A,N/A,https://app.utrsports.net/profiles/3832
Thanasi Kokkinakis,"M • Adelaide, Australia",N/A,N/A,https://app.utrsports.net/profiles/28081
Jordan Thompson,"M • Bradenton, FL",15.58,15.00,https://app.utrsports.net/profiles/2611704
Arthur Fils,M • France,15.58,14.85,https://app.utrsports.net/profiles/281770
Stefanos Tsitsipas,"M • Athens, Greece",15.57,14.15,https://app.utrsports.net/profiles/94283
Karen Khachanov,"M • Dubai, United Arab Emirates",15.57,14.97,https://app.utrsports.net/profiles/54351
