Date,UTR_Rating
2016-06-27,11.23
2016-07-04,11.1
2016-07-11,11.08
2016-07-18,11.06
2016-07-25,11.12
2016-08-01,11.13
2016-08-08,11.18
2016-08-15,11.31
2016-08-22,11.36
2016-08-29,11.62
2016-09-05,11.72
2016-09-12,11.72
2016-09-19,11.81
2016-09-26,11.84
2016-10-03,11.81
2016-10-10,11.81
2016-10-17,11.8
2016-10-24,11.79
2016-10-31,11.79
2016-11-07,11.8
2016-11-14,11.85
2016-11-21,11.85
2016-11-28,11.84
2016-12-05,11.85
2016-12-12,11.86
2016-12-19,11.86
2016-12-26,11.87
2017-01-02,11.89
2017-01-09,11.88
2017-01-16,11.89
2017-01-23,11.91
2017-01-30,11.96
2017-02-07,11.92
2017-02-13,11.9
2017-02-20,11.9
2017-02-27,12.21
2017-03-06,12.34
2017-03-13,12.38
2017-03-20,12.36
2017-03-27,12.38
2017-04-03,12.36
2017-04-10,12.72
2017-04-17,12.76
2017-04-24,12.93
2017-05-01,12.95
2017-05-08,12.98
2017-05-15,13.05
2017-05-22,13.25
2017-05-29,13.25
2017-06-05,13.24
2017-06-12,13.24
2017-06-19,13.25
2017-06-26,13.22
2017-07-03,13.22
2017-07-10,13.24
2017-07-17,13.26
2017-07-24,13.28
2017-07-31,13.29
2017-08-07,13.29
2017-08-14,13.34
2017-08-21,13.36
2017-08-28,13.35
2017-09-04,13.32
2017-09-11,13.37
2017-09-18,13.45
2017-09-25,13.45
2017-10-02,13.44
2017-10-09,13.44
2017-10-16,13.48
2017-10-23,13.53
2017-10-30,13.5
2017-11-06,13.51
2017-11-13,13.49
2017-11-20,13.48
2017-11-27,13.48
2017-12-04,13.47
2017-12-11,13.47
2017-12-18,13.47
2017-12-25,13.47
2018-01-01,13.47
2018-01-04,13.46
2018-01-08,13.46
2018-01-15,13.46
2018-01-22,13.46
2018-01-29,13.46
2018-02-05,13.49
2018-02-12,13.56
2018-02-19,13.55
2018-02-26,13.56
2018-03-05,13.57
2018-03-12,13.58
2018-03-19,13.57
2018-03-26,13.59
2018-04-02,13.69
2018-04-09,13.84
2018-04-16,13.87
2018-04-23,13.89
2018-04-30,13.9
2018-05-07,13.91
2018-05-14,13.91
